2025-09-28 09:02:48,568 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿针织丝袜官方旗舰店产品质量数据.xlsx, 数据行数: 30
2025-09-28 09:02:48,569 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿针织棉袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,583 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿针织棉袜官方旗舰店产品质量数据.xlsx, 数据行数: 61
2025-09-28 09:02:48,583 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿针织配件旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,590 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿针织配件旗舰店产品质量数据.xlsx, 数据行数: 10
2025-09-28 09:02:48,591 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\顶瓜瓜儿童袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,613 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\顶瓜瓜儿童袜旗舰店产品质量数据.xlsx, 数据行数: 124
2025-09-28 09:02:48,613 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\顶瓜瓜儿童裤袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,629 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\顶瓜瓜儿童裤袜官方旗舰店产品质量数据.xlsx, 数据行数: 57
2025-09-28 09:02:48,630 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\顶瓜瓜塔智专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,649 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\顶瓜瓜塔智专卖店产品质量数据.xlsx, 数据行数: 105
